"Informazioni cronologiche","Anno di nascita:","Genere in cui ti identifichi:","Ultimo titolo di studio conseguito:","Quante ore al giorno mediamente utilizzi lo smartphone?","Per cosa utilizzi principalmente lo smartphone?","Quante ore al giorno mediamente utilizzi il computer?","Per cosa utilizzi principalmente il computer?","Primo dispositivo digitale utilizzato:","Età dell'utilizzo del primo dispositivo digitale:","Dove hai imparato ad utilizzare il primo dispositivo digitale?","Oggi come ti approcci ad una nuova app/software/dispositivo?","Quanto spesso i tuoi genitori ti chiedono aiuto per utilizzare un dispositivo digitale?","Per quante ore al giorno pensi che i tuoi genitori utilizzino mediamente lo smartphone?","Per cosa pensi che i tuoi genitori utilizzino principalmente i dispositivi digitali?"
"2021/12/01 12:54:20 PM CET","1996-01-01","F","Laurea triennale;","da 3 a 5 ore;","Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);","da 3 a 5 ore;","Studio (note taking, consultazione libri e appunti, etc)","Computer;","da 6 a 9 anni;","Ambiente familiare (genitori, fratelli/sorelle maggiori, etc);","Approccio diretto e intuitivo;","2","da 3 a 5 ore;","Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Intrattenimento (Streaming di film, serie tv e/o video, gaming, etc);"
"2021/12/01 12:57:32 PM CET","1997-11-17","F","Laurea triennale;","1 o 2 ore;","Studio;;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);","da 6 a 7;","Studio (note taking, consultazione libri e appunti, etc);Lavoro;","Smartphone;","da 10 a 13 anni;","Approccio diretto e intuitivo;","Approccio diretto e intuitivo;","3","da 3 a 5 ore;","Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);"
"2021/12/01 1:02:18 PM CET","1998-04-06","F","Laurea triennale;","da 3 a 5 ore;","Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Applicazioni di navigazione (Google Maps, Mappe, Waze, Moovit, etc);","più di 7.","Lavoro;","Console (videogiochi);","< 6 anni;","Ambiente familiare (genitori, fratelli/sorelle maggiori, etc);","Approccio diretto e intuitivo;","2","da 3 a 5 ore;","Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);"
"2021/12/01 1:07:40 PM CET","1995-07-10","F","Laurea triennale;","da 3 a 5 ore;","Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Applicazioni di navigazione (Google Maps, Mappe, Waze, Moovit, etc);;Fotocamera e/o videocamera;","più di 7.","Studio (note taking, consultazione libri e appunti, etc);Lavoro;","Computer;","< 6 anni;","Ambiente familiare (genitori, fratelli/sorelle maggiori, etc);","Approccio diretto e intuitivo;","3","1 o 2 ore;","Lavoro;;Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Applicazioni di navigazione (Google Maps, Mappe, Waze, Moovit, etc);"
"2021/12/01 1:09:41 PM CET","1997-03-15","F","Laurea triennale;","1 o 2 ore;","Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);","1 o 2 ore;","Streaming di film, serie tv e/o video;","Computer;","da 10 a 13 anni;","Ambiente familiare (genitori, fratelli/sorelle maggiori, etc);","Approccio diretto e intuitivo;","3","1 o 2 ore;","Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Leggere notizie, giornali digitali"
"2021/12/01 1:10:13 PM CET","1989-05-09","F","Laurea magistrale o laurea a ciclo unico.","più di 7.","Applicazioni di navigazione (Google Maps, Mappe, Waze, Moovit, etc);;Lavoro;;app per annunci e/o acquisto beni","più di 7.","Lavoro;","Computer;","da 10 a 13 anni;","Ambiente familiare (genitori, fratelli/sorelle maggiori, etc);","Approccio diretto e intuitivo;","0","da 3 a 5 ore;","Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Intrattenimento (Streaming di film, serie tv e/o video, gaming, etc);"
"2021/12/01 1:10:32 PM CET","1995-04-16","M","Laurea triennale;","da 6 a 7;","Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);","da 6 a 7;","Lavoro;;Streaming di film, serie tv e/o video;","Console (videogiochi);","da 6 a 9 anni;","Approccio diretto e intuitivo;","Approccio diretto e intuitivo;","5","da 3 a 5 ore;","Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);"
"2021/12/01 1:11:08 PM CET","1993-07-02","M","Diploma di scuola superiore;","1 o 2 ore;","Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);","da 3 a 5 ore;","Streaming di film, serie tv e/o video;;Gaming","Computer;","da 6 a 9 anni;","A scuola, con gli insegnanti;","Approccio diretto e intuitivo;","3","1 o 2 ore;","Lavoro;;Social (Facebook, Instagram, YouTube, etc);"
"2021/12/01 1:12:01 PM CET","1997-12-11","F","Laurea triennale;","più di 7.","Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Applicazioni di navigazione (Google Maps, Mappe, Waze, Moovit, etc);;Fotocamera e/o videocamera;;Intrattenimento (Streaming di film, serie tv e/o video, gaming);;Lavoro;","più di 7.","Studio (note taking, consultazione libri e appunti, etc);Lavoro;;Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);","Smartphone;","da 6 a 9 anni;","Per imitazione, senza chiedere aiuto;","Approccio diretto e intuitivo;","5","da 3 a 5 ore;","Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Fotografia;"
"2021/12/01 1:16:01 PM CET","1998-07-07","M","Laurea triennale;","1 o 2 ore;","Studio;;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Applicazioni di navigazione (Google Maps, Mappe, Waze, Moovit, etc);","da 3 a 5 ore;","Studio (note taking, consultazione libri e appunti, etc);Lavoro;","Computer;","< 6 anni;","Ambiente familiare (genitori, fratelli/sorelle maggiori, etc);","Approccio diretto e intuitivo;","3","1 o 2 ore;","Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Applicazioni di navigazione (Google Maps, Mappe, Waze, Moovit, etc);"
"2021/12/01 1:17:21 PM CET","2000-03-27","F","Diploma di scuola superiore;","più di 7.","Studio;;Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Applicazioni di navigazione (Google Maps, Mappe, Waze, Moovit, etc);","da 3 a 5 ore;","Studio (note taking, consultazione libri e appunti, etc);Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Streaming di film, serie tv e/o video;","Computer;","da 6 a 9 anni;","Ambiente familiare (genitori, fratelli/sorelle maggiori, etc);","Approccio diretto e intuitivo;","4","da 3 a 5 ore;","Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;giochi"
"2021/12/01 1:20:07 PM CET","1991-08-30","F","Laurea triennale;","da 6 a 7;","Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);","da 3 a 5 ore;","Studio (note taking, consultazione libri e appunti, etc);Streaming di film, serie tv e/o video;","Smartphone;","da 14 a 16 anni;","Approccio diretto e intuitivo;","Approccio diretto e intuitivo;","3","da 3 a 5 ore;","Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Applicazioni di navigazione (Google Maps, Mappe, Waze, Moovit, etc);"
"2021/12/01 1:22:31 PM CET","1997-10-02","F","Laurea triennale;","da 3 a 5 ore;","Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);","più di 7.","Lavoro;;Streaming di film, serie tv e/o video;","Computer;","da 6 a 9 anni;","Ambiente familiare (genitori, fratelli/sorelle maggiori, etc);","Approccio diretto e intuitivo;","2","1 o 2 ore;","Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);"
"2021/12/01 1:23:01 PM CET","1997-11-28","F","Laurea triennale;","da 3 a 5 ore;","Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Applicazioni di navigazione (Google Maps, Mappe, Waze, Moovit, etc);;Intrattenimento (Streaming di film, serie tv e/o video, gaming);","1 o 2 ore;","Studio (note taking, consultazione libri e appunti, etc);Streaming di film, serie tv e/o video;","Computer;","da 10 a 13 anni;","Approccio diretto e intuitivo;","Approccio diretto e intuitivo;","5","1 o 2 ore;","Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);"
"2021/12/01 1:28:40 PM CET","1988-03-29","F","Laurea magistrale o laurea a ciclo unico.","da 3 a 5 ore;","Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Applicazioni di navigazione (Google Maps, Mappe, Waze, Moovit, etc);;Lavoro;","più di 7.","Lavoro;","Console (videogiochi);","da 10 a 13 anni;","Ambiente familiare (genitori, fratelli/sorelle maggiori, etc);","Approccio diretto e intuitivo;","1","1 o 2 ore;","Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Applicazioni di navigazione (Google Maps, Mappe, Waze, Moovit, etc);"
"2021/12/01 1:29:15 PM CET","2006-02-27","M","Licenza media;","da 3 a 5 ore;","Studio;;Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Intrattenimento (Streaming di film, serie tv e/o video, gaming);","1 o 2 ore;","Studio (note taking, consultazione libri e appunti, etc);Streaming di film, serie tv e/o video;","Tablet;","< 6 anni;","Ambiente familiare (genitori, fratelli/sorelle maggiori, etc);","Approccio diretto e intuitivo;","1","1 o 2 ore;","Lavoro;;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);"
"2021/12/01 1:30:49 PM CET","1994-07-04","F","Laurea magistrale o laurea a ciclo unico.","da 3 a 5 ore;","Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Lavoro;","da 3 a 5 ore;","Lavoro;;Streaming di film, serie tv e/o video;","Smartphone;","da 10 a 13 anni;","Approccio diretto e intuitivo;","Approccio diretto e intuitivo;","0","da 3 a 5 ore;","Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);"
"2021/12/01 1:31:58 PM CET","2006-11-06","F","Licenza media;","da 3 a 5 ore;","Social (Facebook, Instagram, YouTube, etc);","1 o 2 ore;","Studio (note taking, consultazione libri e appunti, etc)","Smartphone;","da 6 a 9 anni;","Ambiente familiare (genitori, fratelli/sorelle maggiori, etc);","Chiedendo a qualcuno;","2","1 o 2 ore;","Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);"
"2021/12/01 1:32:44 PM CET","1994-03-31","M","Laurea magistrale o laurea a ciclo unico.","da 3 a 5 ore;","Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Applicazioni di navigazione (Google Maps, Mappe, Waze, Moovit, etc);","più di 7.","Studio (note taking, consultazione libri e appunti, etc);Lavoro;;Social (Facebook, Instagram, YouTube, etc);;Streaming di film, serie tv e/o video;","Computer;","da 10 a 13 anni;","Approccio diretto e intuitivo;","Guardando un tutorial online;","5","da 3 a 5 ore;","Lavoro;;Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Applicazioni di navigazione (Google Maps, Mappe, Waze, Moovit, etc);;Intrattenimento (Streaming di film, serie tv e/o video, gaming, etc);"
"2021/12/01 1:34:05 PM CET","2001-11-13","M","Diploma di scuola superiore;","1 o 2 ore;","Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);","da 3 a 5 ore;","Studio (note taking, consultazione libri e appunti, etc);Lavoro;;Streaming di film, serie tv e/o video;","Computer;","da 6 a 9 anni;","Ambiente familiare (genitori, fratelli/sorelle maggiori, etc);","Approccio diretto e intuitivo;","2","da 3 a 5 ore;","Lavoro;;Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);"
"2021/12/01 1:41:18 PM CET","2006-12-24","F","Licenza media;","da 3 a 5 ore;","Studio;;Social (Facebook, Instagram, YouTube, etc);","1 o 2 ore;","Studio (note taking, consultazione libri e appunti, etc);Streaming di film, serie tv e/o video;","Computer;","da 6 a 9 anni;","Per imitazione, senza chiedere aiuto;","Approccio diretto e intuitivo;","5","1 o 2 ore;","Lavoro;;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);"
"2021/12/01 1:41:44 PM CET","1998-08-03","F","Laurea triennale;","da 6 a 7;","Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);","1 o 2 ore;","Studio (note taking, consultazione libri e appunti, etc);Streaming di film, serie tv e/o video;","Smartphone;","da 14 a 16 anni;","Tramite amici;","Approccio diretto e intuitivo;","3","1 o 2 ore;","Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Fotografia;"
"2021/12/01 1:44:06 PM CET","1999-10-12","M","Diploma di scuola superiore;","da 6 a 7;","Studio;;Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Applicazioni di navigazione (Google Maps, Mappe, Waze, Moovit, etc);;Fotocamera e/o videocamera;;Intrattenimento (Streaming di film, serie tv e/o video, gaming);;Lavoro;","da 6 a 7;","Studio (note taking, consultazione libri e appunti, etc);Lavoro;;Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Applicazioni di navigazione (Google Maps, Mappe, Waze, Moovit, etc);;Streaming di film, serie tv e/o video;","Computer;","da 6 a 9 anni;","Ambiente familiare (genitori, fratelli/sorelle maggiori, etc);","Approccio diretto e intuitivo;","4","da 3 a 5 ore;","Lavoro;;Social (Facebook, Instagram, YouTube, etc);;Messaggistica (SMS, WhatsApp, Telegram, Facebook Messanger, etc);;Intrattenimento (Streaming di film, serie tv e/o video, gaming, etc);;Fotografia;"
